"model","effect","term","estimate","std_error","t_value","95CI_low","95CI_up","group","nb_obs","nb_groups"
"mass","fixed","(Intercept)",-0.0056,0.0882,-0.0632,-0.1806,0.1725,,,
"mass","fixed","relative_par_load",-0.1532,0.0341,-4.4957,-0.2197,-0.0861,,,
"mass","fixed","hatch_size",-0.2759,0.0322,-8.5588,-0.3388,-0.2123,,,
"mass","fixed","laydate",-0.2391,0.0405,-5.9112,-0.3183,-0.1581,,,
"mass","ran_pars","sd__(Intercept)",0.6946,,,0.6474,0.7418,"broodID:year",,604
"mass","ran_pars","sd__(Intercept)",0.3483,,,0.2307,0.5048,"year",,19
"mass","ran_pars","sd__Observation",0.6177,,,0.6012,0.6349,"Residual",3201,
"tarsus_length","fixed","(Intercept)",-0.0041,0.053,-0.078,-0.1081,0.1039,,,
"tarsus_length","fixed","relative_par_load",-0.048,0.0317,-1.5138,-0.1097,0.0155,,,
"tarsus_length","fixed","hatch_size",-0.072,0.0314,-2.2912,-0.1331,-0.0097,,,
"tarsus_length","fixed","laydate",-0.105,0.0369,-2.8475,-0.1771,-0.0317,,,
"tarsus_length","ran_pars","sd__(Intercept)",0.5677,,,0.5176,0.6175,"broodID:year",,537
"tarsus_length","ran_pars","sd__(Intercept)",0.1762,,,0.0859,0.2815,"year",,19
"tarsus_length","ran_pars","sd__Observation",0.8086,,,0.7856,0.8328,"Residual",2790,
